"id","exper","date","time.orig","time","sheet.order","mass.init","pres.init","vol","mass.final","notes","inject.date.time","xCH4.oa","date.time","start.time","time.d","xCH4.GC","vol.hs","temperature","pressure","massloss","cmassloss","vBg","vCH4","cvBg","cvCH4","rvBg","rvCH4","method"
"C1","2","06022017",1717,"1701",376,1034.5,0.267,156,1034.4,NA,"08-02-2017 15:15:19",0.6287,2017-02-06 17:01:00,2017-01-17 15:20:00,20.1,0.6173,623.16,30,1.5,0.0999999999999091,3.39999999999986,81.8631043374976,50.6186303661484,2763.49280474997,1753.99465095898,15.4458687429241,9.55068497474498,"grav"
"C1","2","17022017",1753,"1707",415,1034.3,0.234,140,1034.1,"Ask Jinmi about pres.init","27-02-2017 13:42:36",0.615,2017-02-17 17:07:00,2017-01-17 15:20:00,31.1,0.615,623.16,30,1.5,0.300000000000182,3.70000000000005,245.008878363426,150.934043745336,3008.5016831134,1904.92869470431,22.2735343966751,13.7212767041215,"grav"
"C2","2","17012017",1520,"1520",192,1022.1,0,0,1022.1,NA,NA,NA,2017-01-17 15:20:00,2017-01-17 15:20:00,0,NA,639.24,30,1.5,0,0,0,0,0,0,NA,NA,"grav"
"C2","2","18012017",1557,"1527",215,1022.1,1.082,690,1021.3,NA,"17-02-2017 11:57:55",0.633,2017-01-18 15:27:00,2017-01-17 15:20:00,1,0.6239,639.24,30,1.5,0.800000000000068,0.800000000000068,597.289387390213,373.261466626112,597.289387390213,373.261466626112,597.289387390213,373.261466626112,"grav"
"C2","2","19012017",1132,"1103",242,1021.3,0.971,618,1020.6,NA,"06-02-2017 12:52:47",0.6317,2017-01-19 11:03:00,2017-01-17 15:20:00,1.8,0.6207,639.24,30,1.5,0.699999999999932,1.5,575.055554634958,357.528771891179,1172.34494202517,730.790238517291,718.819443293697,446.910964863974,"grav"
"C2","2","20012017",1509,"1450",260,1020.6,0.901,575,1020,NA,"02-02-2017 18:04:21",0.6475,2017-01-20 14:50:00,2017-01-17 15:20:00,3,0.6475,639.24,30,1.5,0.600000000000023,2.10000000000002,506.945672259218,328.753033360634,1679.29061428439,1059.54327187793,422.454726882682,273.960861133862,"grav"
"C2","2","22012017",639,"0617",287,1020,0.683,420,1019.5,NA,"10-02-2017 18:09:50",0.6513,2017-01-22 06:17:00,2017-01-17 15:20:00,4.6,0.6407,639.24,30,1.5,0.5,2.60000000000002,419.423480962612,269.146630916165,2098.714095247,1328.68990279409,262.139675601633,168.216644322603,"grav"
"C2","2","24012017",1009,"0923",311,1019.5,0.444,275,1019.2,NA,"03-02-2017 11:52:03",0.6461,2017-01-24 09:23:00,2017-01-17 15:20:00,6.8,0.6364,639.24,30,1.5,0.299999999999955,2.89999999999998,250.517353073761,159.68261317976,2349.23144832076,1488.37251597385,113.871524124437,72.5830059908001,"grav"
"C2","2","28012017",1858,"1822",338,1019.2,0.495,310,1018.9,"mass.init originally entered as 1018.2. Must be mistake.","09-02-2017 11:39:14",0.6423,2017-01-28 18:22:00,2017-01-17 15:20:00,11.1,0.6318,639.24,30,1.5,0.300000000000068,3.20000000000005,249.312578220687,157.769187592914,2598.54402654145,1646.14170356676,57.979669353648,36.6905087425382,"grav"
"C2","2","01022017",1013,"1013",353,1018.8,0.248,150,1018.7,NA,"20-02-2017 14:33:04",0.6222,2017-02-01 10:13:00,2017-01-17 15:20:00,14.8,0.6222,639.24,30,1.5,0.199999999999932,3.39999999999998,164.556712594518,102.556268549693,2763.10073913597,1748.69797211646,44.4747871877076,27.717910418836,"grav"
