"method","time.d","id","exper","descrip","descrip1","substrate","tare","m.inoc","m.sub","m.tot1","m.tot2","m.tot","m.tot.sd","m.gained","c.sub.vs","c.inoc.vs","m.sub.vs","m.inoc.vs","ISR","vol.tot","vol.hs","notes","cvCH4","vol.mi.mn","vol.mi.se","n","rsd.inoc","cvCH4.tot","cvCH4.inoc","fv.inoc","se.inoc","cvCH4.se"
"gd02",31.1,"L1","2","Cellulose","Cellulose","Cellulose",537.98,296.94,1.56,838.3,NA,838.3,NA,1.81999999999994,945.69,19.86,1.4752764,5.8972284,3.99737188231304,1120,824.5,NA,372.810243765981,0.89677957567372,0.186788061471141,2,29.4563142367971,553.311827876291,180.501584110309,0.326220360773972,37.5962409303372,0
"gd02",31.1,"L3","2","Cellulose","Cellulose","Cellulose",537.02,322.27,1.75,863.3,NA,863.3,NA,2.25999999999999,945.69,19.86,1.6549575,6.4002822,3.86733931233884,1120,798.98,NA,402.00440239956,0.89677957567372,0.186788061471141,2,29.4563142367971,576.63435746026,174.629955060701,0.302843479236729,36.3732534341845,0
"gd02",31.1,"E1","2","Ethanol","Ethanol","Ethanol",539.62,308.28,1.44,851.1,NA,851.1,NA,1.75999999999999,1000,19.86,1.44,6.1224408,4.251695,1120,813.28,NA,622.137399777722,0.89677957567372,0.186788061471141,2,29.4563142367971,814.122960603204,191.985560825482,0.235818875177326,39.9882108266133,0
"gd02",31.1,"E2","2","Ethanol","Ethanol","Ethanol",537.6,300.31,1.48,841.2,NA,841.2,NA,1.80999999999995,1000,19.86,1.48,5.9641566,4.02983554054054,1120,821.21,NA,710.309398289406,0.89677957567372,0.186788061471141,2,29.4563142367971,892.276880972226,181.967482682821,0.203936117323301,37.901569419188,0
"gd02",31.1,"E3","2","Ethanol","Ethanol","Ethanol",536.89,331.33,1.52,871.6,NA,871.6,NA,1.86000000000001,1000,19.86,1.52,6.5802138,4.32908802631579,1120,790.15,NA,664.682918195838,0.89677957567372,0.186788061471141,2,29.4563142367971,860.163166095821,195.480247899983,0.227259496343286,40.7161107942322,0
"gd02",31.1,"A1","2","FI1","A","A",538.12,281.87,3.89,826.2,NA,826.2,NA,2.32000000000005,821,19.86,3.19369,5.5979382,1.75281201368949,1120,837.24,NA,379.294595576325,0.89677957567372,0.186788061471141,2,29.4563142367971,458.442934643408,79.1483390670827,0.172646000376572,16.4856172286197,0
"gd02",31.1,"A2","2","FI1","A","A",540.96,296.05,3.82,842.7,NA,842.7,NA,1.87,821,19.86,3.13622,5.879553,1.87472594397077,1120,823.13,NA,385.434011749089,0.89677957567372,0.186788061471141,2,29.4563142367971,470.087382168959,84.65337041987,0.180080073686053,17.6322469720017,0
"gd02",20.1,"A3","2","FI1","A","A",527.29,296.7,3.49,839.3,NA,839.3,NA,11.8199999999999,821,19.86,2.86529,5.892462,2.05649759710186,1120,822.81,"May be error in tare. Check original data sheet.",416.411517141875,0.404285978013151,0.404285978013151,2,141.42135623731,458.275220179439,41.8637030375641,0.091350570997865,41.8637030375641,0
"gd02",31.1,"B1","2","FI2","B","B",537.92,301.66,3.94,845.4,NA,845.4,NA,1.88,858.47,19.86,3.3823718,5.9909676,1.77123271900505,1120,817.4,NA,401.844979300829,0.89677957567372,0.186788061471141,2,29.4563142367971,481.825106499659,79.9801271988297,0.165994104748641,16.6588683785101,0
"gd02",31.1,"B2","2","FI2","B","B",537.39,310.41,3.51,853.2,NA,853.2,NA,1.8900000000001,858.47,19.86,3.0132297,6.1647426,2.04589202077757,1120,809.08,NA,381.934299209079,0.89677957567372,0.186788061471141,2,29.4563142367971,474.316684821726,92.3823856126466,0.194769420028665,19.2421049617481,0
