"exp","bottle","date.time","time","pres","pres.resid","xCH4.p","headspace.p","rh.resid","pres.resid.prev","rh.resid.prev","temp.prev","vBg.p","vCH4.p","cvBg.p","cvCH4.p","rvBg.p","rvCH4.p","mass","xCH4.m","headspace.m","massloss","cmassloss","vBg.m","vCH4.m","cvBg.m","cvCH4.m","rvBg.m","rvCH4.m","err.m"
"TSR1",5,"2016-05-04 14:30:00.00",8.0625,1.47,1.007,0.482943076301978,502.42,0.685034013605442,1.008,0.685248130523453,35,197.95483179655,95.8171148898703,773.837663234073,318.1612711976,92.2507954003343,44.6526360651823,474.66,0.482943076301978,502.42,0.259999999999991,1.10999999999996,185.935499008924,89.9993342367805,813.303436355864,323.262085916594,86.6495529361976,41.9414373142279,-6.07175519715513
"TSR1",5,"2016-05-09 10:45:00.00",12.90625,1.783,0.997,0.532523148148148,502.42,0.559169938306226,1.007,0.685034013605442,35,337.790873822934,180.24917046509,1111.62853705701,498.410441662689,69.7374707247347,37.2127319669862,474.2,0.532523148148148,502.42,0.460000000000036,1.56999999999999,344.339451874268,183.743568487511,1157.64288823013,507.005654404105,71.0894352256554,37.934156074841,1.93864860149167
"TSR1",6,"2016-04-28 10:30:00.00",1.89583333333333,1.377,1.003,0.284963196635121,505.816666666667,0.728395061728395,1.008,1,22,133.051428441624,38.0334375183931,133.051428441624,38.0334375183931,NA,NA,473.44,0.284963196635121,505.816666666667,0.220000000000027,0.220000000000027,201.732264019011,57.6662088402711,201.732264019011,57.6662088402711,106.408227174863,30.4173409267364,51.6197656664176
"TSR1",6,"2016-04-29 16:00:00.00",3.125,1.281,1.005,0.256109297319703,505.816666666667,0.784543325526932,1.003,0.728395061728395,35,117.8702122762,30.2859731518675,250.921640717824,68.3194106702607,95.8944099874167,24.6394357845701,473.27,0.256109297319703,505.816666666667,0.170000000000016,0.390000000000043,100.928276195731,25.9328544854532,302.660540214742,83.5990633257242,82.1111399558486,21.097915513589,-14.3733821745988
"TSR1",6,"2016-04-30 13:20:00.00",4.01388888888889,1.324,1.005,0.39005971197752,505.816666666667,0.759063444108761,1.005,0.784543325526932,35,137.653857926372,53.8365212925899,388.575498644196,122.155931962851,154.860590167168,60.5660864541636,473.07,0.39005971197752,505.816666666667,0.199999999999989,0.590000000000032,131.97934381642,51.6172148066872,434.639884031162,135.216278132411,148.476761793472,58.069366657523,-4.12230662869405
"TSR1",6,"2016-05-02 11:00:00.00",5.91666666666667,1.422,1.008,0.442564204658571,505.816666666667,0.708860759493671,1.005,0.759063444108761,35,180.95805996326,80.2808498628449,569.533558607456,202.436781825696,95.1020461120784,42.1913955483564,472.82,0.442564204658571,505.816666666667,0.25,0.840000000000032,172.507863531597,76.5319759459847,607.147747562759,211.748254078396,90.6610669655109,40.2211844387657,-4.66969884258189
"TSR1",6,"2016-05-04 14:30:00.00",8.0625,1.34,1.007,0.481061616431048,505.816666666667,0.751492537313433,1.008,0.708860759493671,35,141.594650194735,68.2703554345251,711.128208802191,270.707137260221,65.98585640143,31.8153112704583,472.62,0.481061616431048,505.816666666667,0.199999999999989,1.04000000000002,142.785291057081,68.8444270873413,749.93303861984,280.592681165737,66.5407181625232,32.0828398076931,0.840879836002563
"TSR1",6,"2016-05-09 10:45:00.00",12.90625,1.781,0.997,0.513371481957258,505.816666666667,0.559797866367209,1.007,0.751492537313433,35,340.835674128051,175.347681738722,1051.96388293024,446.054818998943,70.3660746586944,36.2008117138008,472.16,0.513371481957258,505.816666666667,0.45999999999998,1.5,338.233228257185,174.008817045424,1088.16626687703,454.601498211161,69.8287955111608,35.92440093841,-0.763548556800367
"TSR1",7,"2016-04-28 10:30:00.00",1.89583333333333,1.371,1.003,0.221725678927467,508.203333333333,0.731582786287381,1.008,1,22,130.976337509912,29.139784763135,130.976337509912,29.139784763135,NA,NA,469.72,0.221725678927467,508.203333333333,0.21999999999997,0.21999999999997,212.37342317734,47.2491135303699,212.37342317734,47.2491135303699,112.021146291344,24.9226093347006,62.1464053850702
"TSR1",7,"2016-04-29 16:00:00.00",3.125,1.35,1.005,0.298224698456235,508.203333333333,0.744444444444444,1.003,0.731582786287381,35,149.589465023982,44.7483132702626,280.565802533894,73.8880980333977,121.699903748324,36.4054074063152,469.51,0.298224698456235,508.203333333333,0.210000000000036,0.430000000000007,128.738367138206,38.5108990240654,341.111790315546,85.7600125544353,104.73629868871,31.3309009009345,-13.9388812457033
