"method","time.d","id","descrip","descrip2","m.inoc","m.sub","m.water","m.tot","vol.hs","m.sub.vs","m.ino.vs","isr","conc.sub.vs","conc.ino.vs","cvCH4","vol.mi.mn","vol.mi.se","n","rsd.inoc","cvCH4.tot","cvCH4.inoc","fv.inoc","se.inoc","cvCH4.se"
"gdv",0.840277777777778,"L2","L","Cellulose",80.012,0.8511,0,80.86,79.0236,0.828950258023342,1.52071049629108,1.83450150545494,973.975159233159,19.0060302990936,-0.293850288332529,0.185277045730887,0.00109026772835532,3,1.01922992776288,17.5894748443104,17.883325132643,1.01670602965316,0.105234904792936,0
"gdv",1.84375,"L2","L","Cellulose",80.012,0.8511,0,80.86,79.0236,0.828950258023342,1.52071049629108,1.83450150545494,973.975159233159,19.0060302990936,13.6565121306697,0.293557708779613,0.00236942392008014,3,1.39800880423442,41.9913116768844,28.3347995462147,0.674777672206239,0.228701716247145,0
"gdv",2.85069444444444,"L2","L","Cellulose",80.012,0.8511,0,80.86,79.0236,0.828950258023342,1.52071049629108,1.83450150545494,973.975159233159,19.0060302990936,93.6389359403352,0.400813615580472,0.00292979920547291,3,1.26606504434857,132.326298299443,38.6873623591076,0.292363368856291,0.282790302264069,0
"gdv",3.80902777777778,"L2","L","Cellulose",80.012,0.8511,0,80.86,79.0236,0.828950258023342,1.52071049629108,1.83450150545494,973.975159233159,19.0060302990936,186.806384319659,0.468144749468103,0.00505619736754088,3,1.87070147505168,231.992687516862,45.1863031972024,0.194774687430259,0.488034667769281,0
"gdv",4.86111111111111,"L2","L","Cellulose",80.012,0.8511,0,80.86,79.0236,0.828950258023342,1.52071049629108,1.83450150545494,973.975159233159,19.0060302990936,251.87819413212,0.532895702300144,0.00862897647114638,3,2.80464368559009,303.314393734869,51.4361996027492,0.169580477106241,0.832886724778513,0
"gdv",5.85902777777778,"L2","L","Cellulose",80.012,0.8511,0,80.86,79.0236,0.828950258023342,1.52071049629108,1.83450150545494,973.975159233159,19.0060302990936,284.713355180613,0.571248380174331,0.0101021177662965,3,3.06300758873573,339.851434880954,55.1380797003402,0.162241715176676,0.975077381174002,0
"gdv",6.83958333333333,"L2","L","Cellulose",80.012,0.8511,0,80.86,79.0236,0.828950258023342,1.52071049629108,1.83450150545494,973.975159233159,19.0060302990936,304.127279697613,0.633363999647819,0.00875595765046442,3,2.39447829809694,365.260887956161,61.1336082585481,0.167369708266945,0.845143211849066,0
"gdv",8.91666666666667,"L2","L","Cellulose",80.012,0.8511,0,80.86,79.0236,0.828950258023342,1.52071049629108,1.83450150545494,973.975159233159,19.0060302990936,325.746960045919,0.692144096677639,0.0128283461831002,3,3.21021987659318,392.554145311083,66.8071852651644,0.170185912091751,1.23821860825492,0
"gdv",10.8784722222222,"L2","L","Cellulose",80.012,0.8511,0,80.86,79.0236,0.828950258023342,1.52071049629108,1.83450150545494,973.975159233159,19.0060302990936,338.61539456423,0.741282544708639,0.0123341400208043,3,2.8819452631383,410.165524856315,71.5501302920851,0.174442087294269,1.19051680338195,0
"gdv",13.125,"L2","L","Cellulose",80.012,0.8511,0,80.86,79.0236,0.828950258023342,1.52071049629108,1.83450150545494,973.975159233159,19.0060302990936,344.338932442741,0.820418116433264,0.0132127189450647,3,2.78944358499444,423.527392421736,79.1884599789942,0.186973644198533,1.27531906528793,0
