"id","date","day","time","pres.init","pres.resid","mass.init","mass.final","cCH4","cCO2","xCO2","notes","date.time","start.time","time.d","xCH4","vol.hs","temperature","pres.init.abs","pres.resid.abs","rh.resid","pres.resid.prev","rh.resid.prev","temp.prev","xCH4.prev","vBg","vCH4","cvBg","cvCH4","rvBg","rvCH4"
"I3","05122018",22.8611111111095,"0910",188,0,183.0696,183.0562,57.55,31.26,0.351987388807567,NA,2018-12-05 09:10:00,2018-11-12 12:30:00,22.8611111111111,0.648012611192433,80.013,30,1201.25,1013.25,0.843496357960458,1013.25,0.847730600292826,30,0.646010483401281,12.9125896342155,8.36752092612436,172.819100874341,98.294246995746,3.26786099705982,2.11761513771864
"I3","09122018",27.1458333333285,"1600",198,0,183.0548,183.04,59.07,31.43,0.347292817679558,NA,2018-12-09 16:00:00,2018-11-12 12:30:00,27.1458333333333,0.652707182320442,80.013,30,1211.25,1013.25,0.836532507739938,1013.25,0.843496357960458,30,0.648012611192433,13.6111424956012,8.88409046646586,186.430243369942,107.178337462212,3.17666858892474,2.07343440384292
"L1","12112018",0,"1230",0,0,NA,184.6046,0,0,NA,NA,2018-11-12 12:30:00,2018-11-12 12:30:00,0,0,79.1112,30,1013.25,1013.25,1,1013.25,1,20,0,-3.7212883918846,0,-3.7212883918846,0,NA,NA
"L1","13112018",0.840277777773736,"0840",366,0,184.6039,184.5705,12.17,22.61,0.650086256469235,NA,2018-11-13 08:40:00,2018-11-12 12:30:00,0.840277777777778,0.349913743530765,79.1112,30,1379.25,1013.25,0.734638390429581,1013.25,1,30,0,25.7432139140218,9.00790435116866,22.0219255221372,9.00790435116866,30.636552096026,10.7201506327958
"L1","14112018",1.84375,"0845",614,0,184.5713,184.5138,29.38,28.16,0.489398679179701,NA,2018-11-14 08:45:00,2018-11-12 12:30:00,1.84375,0.510601320820299,79.1112,30,1627.25,1013.25,0.622676294361653,1013.25,0.734638390429581,30,0.349913743530765,42.3916124036014,21.6452132849811,64.4135379257387,30.6531176361497,42.2449286236582,21.5703163531991
"L1","15112018",2.85069444444525,"0855",1862,0,184.5121,184.3237,45.54,37.35,0.450597176981542,NA,2018-11-15 08:55:00,2018-11-12 12:30:00,2.85069444444444,0.549402823018458,79.1112,30,2875.25,1013.25,0.352404138770542,1013.25,0.622676294361653,30,0.510601320820299,129.836206590468,71.3323784308106,194.249744516206,101.98549606696,128.94078447605,70.8404309933567
"L1","16112018",3.80902777777374,"0755",2134,0,184.3243,184.094,47.39,46.41,0.494776119402985,NA,2018-11-16 07:55:00,2018-11-12 12:30:00,3.80902777777778,0.505223880597015,79.1112,30,3147.25,1013.25,0.321947732147113,1013.25,0.352404138770542,30,0.549402823018458,148.157946050179,74.8529324447544,342.407690566385,176.838428511715,154.599595878447,78.1074077684394
"L1","17112018",4.86111111110949,"0910",1538,0,184.093,183.9256,45.73,50.79,0.526212184003315,NA,2018-11-17 09:10:00,2018-11-12 12:30:00,4.86111111111111,0.473787815996685,79.1112,30,2551.25,1013.25,0.397158255756982,1013.25,0.321947732147113,30,0.505223880597015,106.146108084417,50.290732725864,448.553798650802,227.129161237579,100.891350258456,47.8010924919104
"L1","18112018",5.85902777777665,"0907",865,0,183.9273,183.8395,44.66,52.01,0.538015930485156,NA,2018-11-18 09:07:00,2018-11-12 12:30:00,5.85902777777778,0.461984069514844,79.1112,30,1878.25,1013.25,0.539464927459071,1013.25,0.397158255756982,30,0.473787815996685,59.0349328325721,27.2731985135271,507.588731483374,254.402359751106,59.1581790389031,27.3301362974802
"L1","19112018",6.8395833333343,"0839",578,0,183.8366,183.7804,45.64,50.25,0.524037960162686,NA,2018-11-19 08:39:00,2018-11-12 12:30:00,6.83958333333333,0.475962039837314,79.1112,30,1591.25,1013.25,0.636763550667714,1013.25,0.539464927459071,30,0.461984069514844,39.2747080865594,18.6932701748939,546.863439569933,273.095629926,40.0535266605139,19.0639582520164
